Release (dato),Dag,Tid,Artist,Tittel,Versjon,Fil (kilde),shorturl-slug,yt lp,tt lp,ig lp,fb lp
19.04.2026,Søndag,12:00,Sky.AI,Concrete Halo,—,concrete halo.mp4,coha,https://skydevaaben.no/r/ytcoha1,https://skydevaaben.no/r/ttcoha1,https://skydevaaben.no/r/igcoha1,https://skydevaaben.no/r/fbcoha1
08.05.2026,Fredag,19:30,After Brügge,My Mind Photography,Crimson Echo,mmp crimson echo.mp4,mmpce,https://skydevaaben.no/r/ytmmpce1,https://skydevaaben.no/r/ttmmpce1,https://skydevaaben.no/r/igmmpce1,https://skydevaaben.no/r/fbmmpce1
10.05.2026,Søndag,12:00,After Brügge,My Mind Photography,Crimson Noise,mmp crimson noise.mp4,mmpcn,https://skydevaaben.no/r/ytmmpcn1,https://skydevaaben.no/r/ttmmpcn1,https://skydevaaben.no/r/igmmpcn1,https://skydevaaben.no/r/fbmmpcn1
12.05.2026,Tirsdag,19:30,After Brügge,My Mind Photography,Machine Elves,mmp machine elves.mp4,mmpme,https://skydevaaben.no/r/ytmmpme1,https://skydevaaben.no/r/ttmmpme1,https://skydevaaben.no/r/igmmpme1,https://skydevaaben.no/r/fbmmpme1
14.05.2026,Torsdag,19:30,After Brügge,My Mind Photography,Post Punk,mmp post punk.mp4,mmppp,https://skydevaaben.no/r/ytmmppp1,https://skydevaaben.no/r/ttmmppp1,https://skydevaaben.no/r/igmmppp1,https://skydevaaben.no/r/fbmmppp1
29.05.2026,Fredag,19:30,Sky.AI,I Forgive You,—,i forgive you.mp4,ify,https://skydevaaben.no/r/ytify1,https://skydevaaben.no/r/ttify1,https://skydevaaben.no/r/igify1,https://skydevaaben.no/r/fbify1
31.05.2026,Søndag,12:00,Sky.AI,Inner Static,—,inner static.mp4,inst,https://skydevaaben.no/r/ytinst1,https://skydevaaben.no/r/ttinst1,https://skydevaaben.no/r/iginst1,https://skydevaaben.no/r/fbinst1
19.06.2026,Fredag,19:30,After Brügge,Kept Wandering,Crimson Noise,kept wandering crimson noise.mp4,kwcn,https://skydevaaben.no/r/ytkwcn1,https://skydevaaben.no/r/ttkwcn1,https://skydevaaben.no/r/igkwcn1,https://skydevaaben.no/r/fbkwcn1
21.06.2026,Søndag,12:00,After Brügge,Kept Wandering,Crimson Echo,kept wandering crimson echo.mp4,kwce,https://skydevaaben.no/r/ytkwce1,https://skydevaaben.no/r/ttkwce1,https://skydevaaben.no/r/igkwce1,https://skydevaaben.no/r/fbkwce1
23.06.2026,Tirsdag,19:30,After Brügge,Kept Wandering,Annihilate,kept wandering annihilate.mp4,kwah,https://skydevaaben.no/r/ytkwah1,https://skydevaaben.no/r/ttkwah1,https://skydevaaben.no/r/igkwah1,https://skydevaaben.no/r/fbkwah1
25.06.2026,Torsdag,19:30,After Brügge,Kept Wandering,Evil Ninja,kept wandering evil ninja.mp4,kpen,https://skydevaaben.no/r/ytkpen1,https://skydevaaben.no/r/ttkpen1,https://skydevaaben.no/r/igkpen1,https://skydevaaben.no/r/fbkpen1
27.06.2026,Lørdag,12:00,After Brügge,Kept Wandering,Giana,kept wandering giana.mp4,kwgi,https://skydevaaben.no/r/ytkwgi1,https://skydevaaben.no/r/ttkwgi1,https://skydevaaben.no/r/igkwgi1,https://skydevaaben.no/r/fbkwgi1
29.06.2026,Mandag,19:30,After Brügge,Kept Wandering,OST,kept wandering ost.mp4,kwos,https://skydevaaben.no/r/ytkwos1,https://skydevaaben.no/r/ttkwos1,https://skydevaaben.no/r/igkwos1,https://skydevaaben.no/r/fbkwos1
01.07.2026,Onsdag,19:30,After Brügge,Kept Wandering,Sometimes They Dont Come Back,kept wandering sometimes they dont come back.mp4,kwst,https://skydevaaben.no/r/ytkwst1,https://skydevaaben.no/r/ttkwst1,https://skydevaaben.no/r/igkwst1,https://skydevaaben.no/r/fbkwst1
10.07.2026,Fredag,19:30,Sky.AI,The Pulse You Couldn't Find,—,the pulse ycnf.mp4,tpycnf,https://skydevaaben.no/r/yttpycnf1,https://skydevaaben.no/r/tttpycnf1,https://skydevaaben.no/r/igtpycnf1,https://skydevaaben.no/r/fbtpycnf1
12.07.2026,Søndag,12:00,Sky.AI,Dark Does Not Burn,—,dark does not burn.mp4,ddnb,https://skydevaaben.no/r/ytddnb1,https://skydevaaben.no/r/ttddnb1,https://skydevaaben.no/r/igddnb1,https://skydevaaben.no/r/fbddnb1
